cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
-10.051019422560836,10.051019422560836,,,,2022-03-01,2022-03-28,,26.89985239760544,,16.8488329750446,,,42.99611160278321,BAC,btc_call
-8.637426129695536,8.637426129695536,,,,2022-03-01,2022-03-29,,27.20882639369013,,18.571400263994597,,,14.765697097778322,T,btc_call
44.43316694697419,,,,,2022-03-01,2022-04-03,44.43316694697419,,,,,,40.77814086914063,BAC,write_cc
-14.269770418632266,14.269770418632266,,,,2022-03-07,2022-03-27,,39.12281102744419,,24.853040608811927,,,13.83343677520752,F,btc_call
-8.612762413465557,8.612762413465557,,,,2022-03-07,2022-04-03,,44.43316694697419,,35.820404533508636,,,40.77814086914063,BAC,btc_call
53.65329327545223,,,,,2022-03-07,2022-04-09,53.65329327545223,,,,,,12.777324829101563,F,write_cc
65.17070755708173,,,,,2022-03-07,2022-04-09,65.17070755708173,,,,,,36.99265319824219,BAC,write_cc
-15.699532963382667,15.699532963382667,,,,2022-04-01,2022-04-09,,53.65329327545223,,37.95376031206956,,,12.777324829101563,F,btc_call
30.538276270323017,,,,,2022-04-01,2022-05-04,30.538276270323017,,,,,,13.321381874084473,F,write_cc
-14.208573325637452,14.208573325637452,,,,2022-04-05,2022-04-09,,65.17070755708173,,50.962134231444274,,,36.99265319824219,BAC,btc_call
-10.51805110409816,10.51805110409816,,,,2022-04-05,2022-05-04,,30.538276270323017,,20.020225166224858,,,13.321381874084473,F,btc_call
25.54271133462378,,,,,2022-04-05,2022-05-08,25.54271133462378,,,,,,12.65731086730957,F,write_cc
51.43933613937737,,,,,2022-04-05,2022-05-08,51.43933613937737,,,,,,38.72939392089844,BAC,write_cc
-15.902253148141376,15.902253148141376,,,,2022-04-07,2022-05-08,,51.43933613937737,,35.53708299123599,,,38.72939392089844,BAC,btc_call
27.543730533285338,,,,,2022-04-07,2022-05-10,27.543730533285338,,,,,,38.005750579833986,BAC,write_cc
15.392835677538663,,,,,2022-04-11,2022-05-14,15.392835677538663,,,,,,16.52011619567871,T,write_cc
-2.646597874319201,2.646597874319201,,,,2022-04-14,2022-05-10,,27.543730533285338,,24.897132658966136,,,38.005750579833986,BAC,btc_call
19.904029986332894,,,,,2022-04-14,2022-05-17,19.904029986332894,,,,,,36.24970825195313,BAC,write_cc
-8.89314723857726,8.89314723857726,,,,2022-04-21,2022-05-08,,25.54271133462378,,16.64956409604652,,,12.65731086730957,F,btc_call
22.6351032301475,,,,,2022-04-21,2022-05-24,22.6351032301475,,,,,,12.561302375793458,F,write_cc
-4.633763920531875,4.633763920531875,,,,2022-04-26,2022-05-17,,19.904029986332894,,15.27026606580102,,,36.24970825195313,BAC,btc_call
-7.939491804196797,7.939491804196797,,,,2022-04-26,2022-05-24,,22.6351032301475,,14.695611425950704,,,12.561302375793458,F,btc_call
23.39129598711014,,,,,2022-04-26,2022-05-29,23.39129598711014,,,,,,11.847527160644532,F,write_cc
25.56197410614196,,,,,2022-04-26,2022-05-29,25.56197410614196,,,,,,35.169073791503905,BAC,write_cc
-4.776697835932064,4.776697835932064,,,,2022-04-29,2022-05-14,,15.392835677538663,,10.616137841606598,,,16.52011619567871,T,btc_call
-6.16764463123276,6.16764463123276,,,,2022-04-29,2022-05-29,,23.39129598711014,,17.22365135587738,,,11.847527160644532,F,btc_call
25.408094241177892,,,,,2022-04-29,2022-06-01,25.408094241177892,,,,,,16.10094074249268,T,write_cc
16.16487254974439,,,,,2022-05-03,2022-06-05,16.16487254974439,,,,,,11.72671600341797,F,write_cc
-2.9356434070432758,2.9356434070432758,,,,2022-05-09,2022-06-05,,16.16487254974439,,13.229229142701115,,,11.72671600341797,F,btc_call
18.09719623903461,,,,,2022-05-09,2022-06-11,18.09719623903461,,,,,,10.768283157348634,F,write_cc
-7.433780274398005,7.433780274398005,,,,2022-05-12,2022-05-29,,25.56197410614196,,18.128193831743957,,,35.169073791503905,BAC,btc_call
