cash_change,close_price,collateral,cost,cost_basis,date,expiry,premium,premium_collected,price,realized_pnl,reason,shares,strike,ticker,type
21.571498636838005,,,,,2022-07-11,2022-08-13,21.571498636838005,,,,,,17.5,T,write_cc
-6.9714591873073495,6.9714591873073495,,,,2022-07-14,2022-08-13,,21.571498636838005,,14.600039449530655,,,17.5,T,btc_call
-6.9714591873073495,6.9714591873073495,,,,2022-07-14,2022-08-13,,21.571498636838005,,14.600039449530655,,,17.5,T,btc_call
17.485751674170924,,,,,2022-07-14,2022-08-16,17.485751674170924,,,,,,17.0,T,write_cc
17.485751674170924,,,,,2022-07-14,2022-08-16,17.485751674170924,,,,,,17.0,T,write_cc
-6.225023461934676,6.225023461934676,,,,2022-07-21,2022-08-16,,17.485751674170924,,11.260728212236248,,,17.0,T,btc_call
-6.225023461934676,6.225023461934676,,,,2022-07-21,2022-08-16,,17.485751674170924,,11.260728212236248,,,17.0,T,btc_call
28.04416822601903,,,,,2022-07-21,2022-08-23,28.04416822601903,,,,,,16.0,T,write_cc
28.04416822601903,,,,,2022-07-21,2022-08-23,28.04416822601903,,,,,,16.0,T,write_cc
-61.117036774402855,61.117036774402855,,,,2022-07-25,2022-08-01,,35.28379279700653,,-25.83324397739633,,,9.0,F,btc_call
29.433740742440584,,,,,2022-07-25,2022-08-27,29.433740742440584,,,,,,10.0,F,write_cc
-7.591401456016311,7.591401456016311,,,,2022-08-02,2022-08-23,,28.04416822601903,,20.452766770002718,,,16.0,T,btc_call
-7.591401456016311,7.591401456016311,,,,2022-08-02,2022-08-23,,28.04416822601903,,20.452766770002718,,,16.0,T,btc_call
25.700156824908937,,,,,2022-08-02,2022-09-04,25.700156824908937,,,,,,15.5,T,write_cc
25.700156824908937,,,,,2022-08-02,2022-09-04,25.700156824908937,,,,,,15.5,T,write_cc
,,,,,2022-08-08,2022-08-07,,,,26.3740733357694,,,9.0,F,expire_call
,,,,,2022-08-08,2022-08-07,,,,26.3740733357694,,,9.0,F,expire_call
34.81972115840995,,,,,2022-08-08,2022-09-10,34.81972115840995,,,,,,12.5,F,write_cc
34.81972115840995,,,,,2022-08-08,2022-09-10,34.81972115840995,,,,,,12.5,F,write_cc
-2.38377325815744,2.38377325815744,,,,2022-08-19,2022-09-04,,25.700156824908937,,23.316383566751497,,,15.5,T,btc_call
-2.38377325815744,2.38377325815744,,,,2022-08-19,2022-09-04,,25.700156824908937,,23.316383566751497,,,15.5,T,btc_call
-136.09058974477398,136.09058974477398,,,,2022-08-22,2022-08-27,,29.433740742440584,,-106.65684900233339,,,10.0,F,btc_call
41.41037652993687,,,,,2022-08-22,2022-09-24,41.41037652993687,,,,,,12.0,F,write_cc
-12.43416713660661,12.43416713660661,,,,2022-08-26,2022-09-10,,34.81972115840995,,22.385554021803337,,,12.5,F,btc_call
-12.43416713660661,12.43416713660661,,,,2022-08-26,2022-09-10,,34.81972115840995,,22.385554021803337,,,12.5,F,btc_call
44.99143143312851,,,,,2022-08-26,2022-09-28,44.99143143312851,,,,,,12.0,F,write_cc
44.99143143312851,,,,,2022-08-26,2022-09-28,44.99143143312851,,,,,,12.0,F,write_cc
-13.110905225742187,13.110905225742187,,,,2022-09-06,2022-09-24,,41.41037652993687,,28.299471304194682,,,12.0,F,btc_call
-16.264850149003962,16.264850149003962,,,,2022-09-06,2022-09-28,,44.99143143312851,,28.72658128412455,,,12.0,F,btc_call
-16.264850149003962,16.264850149003962,,,,2022-09-06,2022-09-28,,44.99143143312851,,28.72658128412455,,,12.0,F,btc_call
24.154663897437434,,,,,2022-09-06,2022-10-09,24.154663897437434,,,,,,12.0,F,write_cc
24.154663897437434,,,,,2022-09-06,2022-10-09,24.154663897437434,,,,,,12.0,F,write_cc
24.154663897437434,,,,,2022-09-06,2022-10-09,24.154663897437434,,,,,,12.0,F,write_cc
-9.531204150082129,9.531204150082129,,,,2022-09-16,2022-10-09,,24.154663897437434,,14.623459747355305,,,12.0,F,btc_call
-9.531204150082129,9.531204150082129,,,,2022-09-16,2022-10-09,,24.154663897437434,,14.623459747355305,,,12.0,F,btc_call
